Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
LIHUE ARPT,DC-9-50,None,1997-01-03,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Pacific golden-plover,Dawn,0,0,0,120
LOUISVILLE INTL ARPT,B-727,Minor,1997-01-03,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,140
ORLANDO INTL,B-737,None,1997-01-04,DELTA AIR LINES,Florida,Take-off run,Large,Unknown bird - large,Day,0,0,0,
GEORGE BUSH INTERCONTINENTAL,ATR-42,None,1997-01-05,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
SALT LAKE CITY INTL,B-737-300,Minor,1997-01-07,AMERICA WEST AIRLINES,Utah,Climb,Medium,Unknown bird - medium,Night,0,0,0,
LAGUARDIA NY,B-727-200,None,1997-01-07,DELTA AIR LINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,135
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1997-01-09,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,None,1997-01-09,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,150
DENVER INTL AIRPORT,B-757-200,None,1997-01-10,UNITED AIRLINES,Colorado,Approach,Small,Unknown bird - small,Night,0,0,0,
SEATTLE-TACOMA INTL,B-737-300,None,1997-01-11,UNITED AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SACRAMENTO INTL,B-737-500,None,1997-01-12,UNITED AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,B-767-200,None,1997-01-12,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
SALT LAKE CITY INTL,B-737,None,1997-01-13,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
LIHUE ARPT,DC-9,None,1997-01-13,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Barn owl,Day,0,0,0,
SALT LAKE CITY INTL,MD-82,None,1997-01-14,AMERICAN AIRLINES,Utah,Approach,Small,Unknown bird - small,Day,0,0,0,140
SALT LAKE CITY INTL,B-757-200,None,1997-01-14,DELTA AIR LINES,Utah,Landing Roll,Small,Unknown bird - small,Day,0,0,0,135
SALT LAKE CITY INTL,B-737-300,None,1997-01-16,SOUTHWEST AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,110
SACRAMENTO INTL,EMB-120,Minor,1997-01-17,SKYWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1997-01-19,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,
NEW ORLEANS INTL,CL-RJ100/200,None,1997-01-19,COMAIR AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,142
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1997-01-21,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,160
NEW ORLEANS INTL,B-737,None,1997-01-21,UNITED AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Night,0,0,0,
HONOLULU INTL ARPT,B-737-200,None,1997-01-24,ALOHA AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,126
BARKSDALE AIR FORCE BASE ARPT,T-1A,None,1997-01-24,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,140
RONALD REAGAN WASHINGTON NATL,A-320,Substantial,1997-01-25,AMERICA WEST AIRLINES,DC,Climb,Medium,Ring-billed gull,Day,0,0,0,145
CHICAGO MIDWAY INTL ARPT,B-737-300,None,1997-01-25,SOUTHWEST AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,145
SACRAMENTO INTL,B-737,None,1997-01-25,AMERICA WEST AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,FOKKER F100,None,1997-01-25,US AIRWAYS*,DC,Take-off run,Medium,Ring-billed gull,Day,0,0,0,128
LAGUARDIA NY,MD-80,None,1997-01-26,DELTA AIR LINES,New York,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,
SACRAMENTO INTL,C-208,Minor,1997-01-27,FEDEX EXPRESS,California,Approach,Medium,Unknown bird - medium,Night,2893,4050,6943,120
RONALD REAGAN WASHINGTON NATL,C-560,Minor,1997-01-28,EXECUTIVE JET AVIATION,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,
SACRAMENTO INTL,BE-58  BARON,None,1997-01-30,BUSINESS,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,85
LOGAN INTL,B-737-200,None,1997-02-01,DELTA AIR LINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140
PHOENIX SKY HARBOR,MD-82,None,1997-02-03,AMERICAN AIRLINES,Arizona,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,200
LIHUE ARPT,B-737-200,None,1997-02-03,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Barn owl,Dawn,0,0,0,135
LOGAN INTL,FOKKER F28 MK 1000,None,1997-02-03,AMERICAN AIRLINES,Massachusetts,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
METRO OAKLAND INTL,B-737-400,Minor,1997-02-04,ALASKA AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
HOUSTON-HOBBY,B-737-500,None,1997-02-05,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,120
ORLANDO INTL,B-737,None,1997-02-05,DELTA AIR LINES,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHARLESTON AFB/INTL ARPT,C-141,None,1997-02-07,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,
GREATER PITTSBURGH,DC-9-30,None,1997-02-07,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,137
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,1997-02-09,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,B-757-200,None,1997-02-10,DELTA AIR LINES,Louisiana,Approach,Medium,Unknown bird - medium,Night,0,0,0,125
PORTLAND INTL (OR),C-130H,None,1997-02-11,MILITARY,Oregon,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,
LIHUE ARPT,B-737-200,None,1997-02-11,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,140
HOUSTON-HOBBY,B-737-200,None,1997-02-12,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,128
LOS ANGELES INTL,B-737-300,None,1997-02-12,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,1997-02-18,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100
PHILADELPHIA INTL,DC-9-30,None,1997-02-18,US AIRWAYS*,Pennsylvania,Climb,Small,Mourning dove,Day,0,0,0,170
HONOLULU INTL ARPT,B-737-200,None,1997-02-18,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Night,0,0,0,140
LIHUE ARPT,C-135E,None,1997-02-20,MILITARY,Hawaii,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,140
NEW ORLEANS INTL,B-727-200,None,1997-02-20,DELTA AIR LINES,Louisiana,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,1997-02-20,AMERICAN AIRLINES,Texas,Approach,Small,European starling,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,1997-02-20,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,1997-02-21,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,1997-02-22,DELTA AIR LINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
LIHUE ARPT,B-737-200,None,1997-02-22,ALOHA AIRLINES,Hawaii,Climb,Medium,Unknown bird - medium,Day,0,0,0,130
FORT LAUDERDALE/HOLLYWOOD INTL,MD-80,None,1997-02-22,US AIRWAYS*,Florida,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,1997-02-22,AMERICAN AIRLINES,North Carolina,Take-off run,Small,Unknown bird - small,Day,0,0,0,100
ORLANDO INTL,B-757-200,None,1997-02-22,BUSINESS,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,135
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,1997-02-23,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130
INDIANAPOLIS INTL,B-737-200,None,1997-02-23,DELTA AIR LINES,Indiana,Climb,Small,Unknown bird - small,Day,0,0,0,140
DENVER INTL AIRPORT,B-737-300,Minor,1997-02-24,UNITED AIRLINES,Colorado,Climb,Large,Unknown bird - large,Day,0,0,0,
SACRAMENTO INTL,B-737-500,None,1997-02-26,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,175
PHILADELPHIA INTL,DC-9,None,1997-02-27,NORTHWEST AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,
HONOLULU INTL ARPT,DC-9,None,1997-02-27,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,140
CHARLESTON AFB/INTL ARPT,BE-1900,Substantial,1997-02-28,GREAT LAKES AIRLINES,South Carolina,Approach,Large,Unknown bird - large,Night,0,0,0,200
SACRAMENTO INTL,EMB-120,None,1997-03-01,SKYWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,B-737-200,None,1997-03-02,SOUTHWEST AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,B-737,None,1997-03-03,UNITED AIRLINES,Illinois,Take-off run,Medium,Red-tailed hawk,Day,0,0,0,
GEORGE BUSH INTERCONTINENTAL,ATR-42,None,1997-03-03,EXPRESSJET (CONTINENTAL EXPRS),Texas,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,
MINETA SAN JOSE INTL,B-737-300,None,1997-03-03,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,170
LOUISVILLE INTL ARPT,DC-8-70,None,1997-03-04,UPS AIRLINES,Kentucky,Approach,Large,Unknown bird - large,Night,0,0,0,230
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,1997-03-04,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,120
RONALD REAGAN WASHINGTON NATL,MD-80,None,1997-03-04,US AIRWAYS*,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,175
PHILADELPHIA INTL,FOKKER F100,Substantial,1997-03-05,US AIRWAYS*,Pennsylvania,Climb,Large,Unknown bird - large,Night,0,0,0,160
RONALD REAGAN WASHINGTON NATL,B-727,None,1997-03-05,DELTA AIR LINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,
METRO OAKLAND INTL,B-737-300,None,1997-03-06,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,125
NASHVILLE INTL,BE-1900,None,1997-03-06,GREAT LAKES AIRLINES,Tennessee,Approach,Small,European starling,Day,0,0,0,120
SALT LAKE CITY INTL,B-737,Minor,1997-03-07,AMERICA WEST AIRLINES,Utah,Climb,Large,Unknown bird - large,Day,0,0,0,
LAMBERT-ST LOUIS INTL,B-737-300,None,1997-03-07,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,210
NASHVILLE INTL,CL-RJ100/200,None,1997-03-08,COMAIR AIRLINES,Tennessee,Climb,Medium,Red-tailed hawk,Dawn,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1997-03-08,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,160
GREATER PITTSBURGH,DC-9,None,1997-03-08,US AIRWAYS*,Pennsylvania,Climb,Medium,Unknown bird - medium,Night,0,0,0,
NASHVILLE INTL,B-737-300,None,1997-03-09,SOUTHWEST AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
GREATER PITTSBURGH,DC-9,None,1997-03-09,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Night,0,0,0,
METRO OAKLAND INTL,B-737-300,Minor,1997-03-10,SOUTHWEST AIRLINES,California,Descent,Large,Unknown bird - large,Night,0,0,0,250
CHARLOTTE/DOUGLAS INTL ARPT,PA-32,None,1997-03-10,PRIVATELY OWNED,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,90
CHICAGO O'HARE INTL ARPT,CITATION II,None,1997-03-10,BUSINESS,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,160
SALT LAKE CITY INTL,B-757-200,Minor,1997-03-11,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
SAN FRANCISCO INTL ARPT,B-727-200,None,1997-03-11,DELTA AIR LINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
SACRAMENTO INTL,MD-80,Minor,1997-03-11,AMERICAN AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,130
PORTLAND INTL (OR),HAWKER 1000,Minor,1997-03-12,EXECUTIVE JET AVIATION,Oregon,Landing Roll,Medium,Unknown bird - medium,Night,0,9423,9423,
PHOENIX SKY HARBOR,B-737-300,None,1997-03-12,SOUTHWEST AIRLINES,Arizona,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
AUSTIN-BERGSTROM INTL,MD-80,None,1997-03-12,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,170
ORLANDO INTL,B-737,None,1997-03-13,DELTA AIR LINES,Florida,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
AUSTIN-BERGSTROM INTL,BE-58  BARON,None,1997-03-14,BUSINESS,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,60
SALT LAKE CITY INTL,MD-80,None,1997-03-14,AMERICAN AIRLINES,Utah,Approach,Small,Unknown bird - small,Day,0,0,0,140
JOHN F KENNEDY INTL,A-300,None,1997-03-15,AMERICAN AIRLINES,New York,Approach,Small,American kestrel,Day,0,0,0,
ORLANDO INTL,B-757-200,None,1997-03-16,DELTA AIR LINES,Florida,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,160
ORLANDO INTL,MD-80,None,1997-03-16,US AIRWAYS*,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,80
MINETA SAN JOSE INTL,B-727,None,1997-03-17,DELTA AIR LINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,190
DENVER INTL AIRPORT,B-737-300,None,1997-03-18,FRONTIER AIRLINES,Colorado,Descent,Large,Unknown bird - large,Night,0,0,0,250
NEW ORLEANS INTL,DC-9-40,None,1997-03-18,ABX AIR,Louisiana,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,
PHOENIX SKY HARBOR,B-737,None,1997-03-18,SOUTHWEST AIRLINES,Arizona,Approach,Small,Unknown bird - small,Night,0,0,0,210
CHARLESTON AFB/INTL ARPT,KC-10A,None,1997-03-21,MILITARY,South Carolina,Take-off run,Medium,Herring gull,Day,0,0,0,
PHOENIX SKY HARBOR,DC-8-61,None,1997-03-21,ABX AIR,Arizona,Climb,Medium,Unknown bird - medium,Night,0,0,0,
AUSTIN-BERGSTROM INTL,B-727,None,1997-03-21,DELTA AIR LINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,245
BALTIMORE WASH INTL,B-737-500,None,1997-03-21,SOUTHWEST AIRLINES,Maryland,Descent,Small,Unknown bird - small,Night,0,0,0,210
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1997-03-23,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,B-737-200,Medium,1997-03-23,SOUTHWEST AIRLINES,Louisiana,Climb,Medium,Unknown bird - medium,Night,0,0,0,220
SACRAMENTO INTL,B-737-500,Minor,1997-03-23,UNITED AIRLINES,California,Approach,Medium,Mallard,Night,0,0,0,135
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1997-03-23,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
CLEVELAND-HOPKINS INTL ARPT,B-737-300,Minor,1997-03-24,CONTINENTAL AIRLINES,Ohio,Approach,Large,Unknown bird - large,Night,0,0,0,
MEMPHIS INTL,A-300,Substantial,1997-03-26,FEDEX EXPRESS,Tennessee,Climb,Large,Unknown bird - large,Day,0,0,0,180
ATLANTA INTL,MD-80,None,1997-03-26,DELTA AIR LINES,Georgia,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,1997-03-26,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180
LOUISVILLE INTL ARPT,B-727,None,1997-03-27,DELTA AIR LINES,Kentucky,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,120
SACRAMENTO INTL,LEARJET-60,None,1997-03-27,BUSINESS,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
ATLANTA INTL,EMB-120,None,1997-03-27,ATLANTIC SOUTHEAST,Georgia,Approach,Small,European starling,Day,0,0,0,130
NEWARK LIBERTY INTL ARPT,MD-82,None,1997-03-27,AMERICAN AIRLINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,140
LOUISVILLE INTL ARPT,DC-8-70,None,1997-03-28,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,190
KANSAS CITY INTL,DC-9,Minor,1997-03-28,NORTHWEST AIRLINES,Missouri,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
SAN FRANCISCO INTL ARPT,B-737-300,None,1997-03-29,UNITED AIRLINES,California,Landing Roll,Large,Canada goose,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,ATR-72,None,1997-03-29,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,ATR-72,None,1997-03-29,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,170
PORTLAND INTL (OR),MD-80,None,1997-03-29,ALASKA AIRLINES,Oregon,Landing Roll,Medium,Mallard,Dusk,0,0,0,
PHILADELPHIA INTL,DC-8-61,None,1997-03-29,UPS AIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,210
PHILADELPHIA INTL,DC-8-70,None,1997-03-29,UPS AIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,215
PHOENIX SKY HARBOR,B-737-300,None,1997-03-29,AMERICA WEST AIRLINES,Arizona,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,
BALTIMORE WASH INTL,DHC8 DASH 8,None,1997-03-30,PIEDMONT AIRLINES,Maryland,Approach,Small,Unknown bird - small,Day,0,0,0,90
PHILADELPHIA INTL,B-737-200,None,1997-03-30,US AIRWAYS*,Pennsylvania,Take-off run,Small,American kestrel,Day,0,0,0,115
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1997-03-31,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1997-04-01,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
EPPLEY AIRFIELD,HAWKER 1000,None,1997-04-01,EXECUTIVE JET AVIATION,Nebraska,Take-off run,Medium,Unknown bird - medium,Day,148,0,148,
MINNEAPOLIS-ST PAUL INTL,B-757-200,None,1997-04-01,NORTHWEST AIRLINES,Minnesota,Climb,Medium,Unknown bird - medium,Night,0,0,0,
CHICAGO O'HARE INTL ARPT,B-757-200,None,1997-04-02,UNITED AIRLINES,Illinois,Approach,Medium,Ring-billed gull,Day,0,0,0,160
LIHUE ARPT,DC-9-50,None,1997-04-02,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,120
AUSTIN-BERGSTROM INTL,B-737-300,None,1997-04-03,US AIRWAYS*,Texas,Landing Roll,Large,Unknown bird - large,Day,0,0,0,
LOS ANGELES INTL,A-320,None,1997-04-03,UNITED AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,
SACRAMENTO INTL,B-737-300,None,1997-04-04,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,150
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1997-04-05,AMERICAN AIRLINES,Texas,Climb,Large,Unknown bird - large,Night,0,0,0,250
JOHN F KENNEDY INTL,B-767-200,None,1997-04-05,TRANS WORLD AIRLINES,New York,Approach,Medium,Unknown bird - medium,Day,0,0,0,
ATLANTA INTL,B-757-200,None,1997-04-05,DELTA AIR LINES,Georgia,Descent,Medium,Unknown bird - medium,Day,0,0,0,250
WILL ROGERS WORLD ARPT,B-737,None,1997-04-07,UNITED AIRLINES,Oklahoma,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,BA-31 JETSTR,None,1997-04-07,TRANS STATES AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,160
METRO OAKLAND INTL,B-737-300,None,1997-04-07,SOUTHWEST AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
MEMPHIS INTL,B-727-200,None,1997-04-09,DELTA AIR LINES,Tennessee,Take-off run,Small,Blackbirds,Day,0,0,0,140
AUSTIN-BERGSTROM INTL,DC-8,None,1997-04-10,ABX AIR,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
MINNEAPOLIS-ST PAUL INTL,DC-9,None,1997-04-10,NORTHWEST AIRLINES,Minnesota,Approach,Medium,Unknown bird - medium,Night,0,0,0,160
EPPLEY AIRFIELD,B-737-300,None,1997-04-10,SOUTHWEST AIRLINES,Nebraska,Climb,Medium,Unknown bird - medium,Night,0,0,0,145
GREATER PITTSBURGH,MD-80,Medium,1997-04-11,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,
LAGUARDIA NY,DC-9,None,1997-04-11,NORTHWEST AIRLINES,New York,Approach,Medium,Unknown bird - medium,Day,0,0,0,
MINETA SAN JOSE INTL,B-737-300,None,1997-04-11,SOUTHWEST AIRLINES,California,Take-off run,Small,Western meadowlark,Dawn,0,0,0,140
LAMBERT-ST LOUIS INTL,B-737-200,None,1997-04-11,UNITED AIRLINES,Missouri,Climb,Small,American robin,Day,0,0,0,150
AUSTIN-BERGSTROM INTL,MD-82,None,1997-04-11,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,1997-04-13,ATLANTIC COAST AIRLINES,DC,Parked,Small,Rock pigeon,Day,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,PA-60 600,Substantial,1997-04-15,BUSINESS,Ohio,Approach,Large,Canada goose,Night,21695,14463,36158,140
SACRAMENTO INTL,A-300,Substantial,1997-04-16,FEDEX EXPRESS,California,Approach,Large,Unknown bird - large,Dawn,0,95458,95458,
EPPLEY AIRFIELD,MD-82,Minor,1997-04-16,AMERICAN AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Night,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,1997-04-18,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150
HONOLULU INTL ARPT,DC-9-50,None,1997-04-19,HAWAIIAN AIR,Hawaii,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,130
CHICAGO O'HARE INTL ARPT,BA-146,None,1997-04-20,AIR WISCONSIN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,210
LOUISVILLE INTL ARPT,B-757-200,None,1997-04-21,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,190
LAGUARDIA NY,B-757-200,None,1997-04-21,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1997-04-21,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,115
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,1997-04-21,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,100
WASHINGTON DULLES INTL ARPT,EMB-120,Minor,1997-04-22,EXPRESSJET (CONTINENTAL EXPRS),DC,Approach,Large,Unknown bird - large,Night,0,0,0,
SAN FRANCISCO INTL ARPT,B-757-200,None,1997-04-22,AMERICA WEST AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,1997-04-22,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,180
DETROIT METRO WAYNE COUNTY ARPT,B-727,None,1997-04-23,FEDEX EXPRESS,Michigan,Take-off run,Large,White-tailed deer,Night,0,0,0,
MINETA SAN JOSE INTL,B-737-300,None,1997-04-23,SOUTHWEST AIRLINES,California,Take-off run,Medium,Red-tailed hawk,Day,0,0,0,100
CHARLESTON AFB/INTL ARPT,C-17A,None,1997-04-24,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Day,0,0,0,
GEORGE BUSH INTERCONTINENTAL,DC-9-40,None,1997-04-24,ABX AIR,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PHOENIX SKY HARBOR,B-737,None,1997-04-26,AMERICAN AIRLINES,Arizona,Descent,Large,Unknown bird - large,Night,0,0,0,
JOHN F KENNEDY INTL,B-757-200,None,1997-04-26,AMERICA WEST AIRLINES,New York,Approach,Small,Unknown bird - small,Night,0,0,0,
HONOLULU INTL ARPT,B-737-200,None,1997-04-27,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,125
LAGUARDIA NY,DC-9,None,1997-04-28,US AIRWAYS*,New York,Approach,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,FOKKER F28 MK 1000,None,1997-04-28,AMERICAN AIRLINES,Tennessee,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120
NEW ORLEANS INTL,B-727,None,1997-04-28,CONTINENTAL AIRLINES,Louisiana,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
METRO OAKLAND INTL,B-737-300,None,1997-04-28,SOUTHWEST AIRLINES,California,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,125
WASHINGTON DULLES INTL ARPT,BA-41 JETSTR,None,1997-04-29,ATLANTIC COAST AIRLINES,DC,Approach,Large,Canada goose,Day,0,0,0,123
